	sentiment	review_body
32	0	I used Turbo Tax for years and switched to this software.  I've done taxes for more than 10 years using Turbo Tax and never had software problems.  Having major software update issue and spent 8 hours with bad results.  Called tech support and initially they could not help.  Writing this in frustration and may need to make the decision to abandon and purchase Turbo Tax to complete my return.  Next day update:  I updated to 3 stars. After another two hours on the phone with Tech Support, albeit they could not get the software that I purchased from Amazon and downloaded from Amazon to work, they finally just sent me a link to download the software directly from their (H&R) website.  It now works! Conclusion: Downloading this software from Amazon's website and getting updates from the vendor (H&R) seems to be the problem.  Will probably not buy a download software version from Amazon and buy the CD version that is produced from the vendor.
33	0	Hard to use this year.
34	-1	"Before you make the mistake of using Turbotax 2011, do a google search on \\""turbotax xp crashes\\"" or any other way to search that subject.  The new version crashed all three of my systems, and I am not alone.  In the future, I think that my choice will be \\""anything but Turbotax\\""."
35	0	I have used Turbo Tax for many years and I must admit that this year they really dropped the ball. I hope that they have learned that less is not more. Let's see what happens in 2015 tax season.
36	0	An average organizer.
37	0	These flash cards are really handy for the tedious memorization, but it's straight from first aid step 2 ck and doesn't really help with concepts, which is mostly what step2 is about. Some of the flash cards don't make sense and seem like they were auto-generated from first aid .<br />However, as an overall program, it works very well and the different quiz modes make memorizing much less painful.
38	-1	wanted to use for virtual drives, no luck!
39	-1	I am quite disappointed with this program, as it makes my computer run very slow. I was doing some research and asking friends before I purchased it, but I got the right advice too late. So i'm stuck with it for a year, I guess. Will not prolong the subscribtion after that.
40	1	great product
41	0	I was so used to my old Print Shop and made 100s of cards on it.  Now I have to learn how to make this one work like my old program and I'm 75.  Is it too late to teach an old dog new tricks???? I 've made 6 so far and it's getting easier.
42	-1	This windows program slowed down my PC and it keeps glitching out and doing weird things. Windows 7 was better... Why can't we buy 7 anymore?
43	1	Great product! I loved this, opened most of my already saved files. Some it would not open at all though, but I found this to be a wonderful product, works great.
44	0	It's a great program! Has everything I was looking for in a photo editing software. And trust me, I searched and searched for something cheaper, but nothing is the same as photoshop. It's so smooth, fast, has the right levels for adjustments etc.<br /><br />However, every one in a while, it will get in this weird mode of shutting down :/ this is really irritating cuz I paid a lot of money for it. I'm hoping there's a way to stop it. One thing I learned is to simply not over use a really hard working tool (such as the sharpening tool) but it still happens every now and then. Other wise, I am completely satisfied!
45	0	Good program. The one thing that doesn't make it a great app is that it doesn't have handwriting recognition. When and if ever were to include handwriting recognition it would become leaps and bounce over anything in the market (ie Myscript)
46	0	Not much new, other than Intuit requires new software every 3 yrs to download financial data. So just ok, it does what it should do.
47	0	I was happy with quicken essentials and did not want to spend more money for this one. As it is, quicken 2015 is working ok. The upgrade  transition did not go smoothly so I had to call up for help, once I found the place to call, which in itself could have been easier.  I  would have given this a greater rating (1 star)  for an easier way to get customer help. think I got the help on online  chat  and the rep was very patient and and it took forever when a phone call would have been easier and quicker. I guess I could have called but now I remember the office was closed at night, so I went with Chat. Also I didn't rate it up more (another star) because of the generic look of the spread sheet. I know that many techy geeks  think we all want simpler smaller print and plainer looks, but I, for one, am a visual person and I like more color, darker fonts and a little larger fonts,  and so I liked the previous roll outs a lot better.  As we get older tiny print and light print is more difficult to see.
48	-1	1. Terrible Customer Support<br />2. Won't Load AVI files<br />My software wouldn't load on my Windows 8.1 computer.  I called and spoke with someone on the phone, and they informed me that it would be $30 to get help via telephone.  I took the free option and got help via email.  It took 6 days to get my program installed.  Sometimes it was days between emails.  (I had to install Microsoft Visual C++ to fix the install, so it wasn't like my computer was at fault.)<br />Then, I finally get the program installed only to find out that the software won't accept AVI files.  I downloaded a bunch of free Codec packs, but that didn't work, so I bought a $33 program to convert my AVI files to MP4.  Not cool.<br />I wouldn't recommend this software.  I wish I had gone with Cyberlink.  It was Sony's good reputation that was my deciding factor - I was wrong.
49	1	using this in combination with another free anti-malware program I am confident that my computer stays safe. this program is easy to use and FREE!!
50	0	I did a comparison test and it is my opinion that Turbo Tax is somewhat more detailed and it did give me a larger refund.
51	1	I am Brazilian and I was looking for an easy and powerful program, after much searching I found this software, I just do not know anything about how to build web sites after a few days using the program I was seeing much of its operation.  In short I tried to use Joomla and found this software so simple to use as a microsoft word, I am very happy with my choice, if you want to see what I could do with the program without having any experience take a look at my site [...]
52	-1	This garbage virus scanner has been &#34;detecting&#34; threats from other software on my computer and deleting the exe and dll files so that it cannot run without being reinstalled, some of this software I no longer have the install discs for and is now lost. This free virus scanner is now costing me money. Not to mention all of the pop-ups telling me to do useless things on my computer and then tells me I need to pay for an upgrade to do them.
53	-1	Here is the problem with Quickbooks. I bought it in 2011, thinking that the desktop software was cheaper vs. online and other options that I looked at. I assumed I'd upgrade the software in 5 years or when I bought a new computer (like my other software).<br /><br />3 years later, THEY DISABLED THE ONLINE BANKING FEATURE which essentially forces you to upgrade. If this is the case, they should only sell it as a 3 year license or something and clearly tell you that they will actively disable features that you need to use the product.<br /><br />When I switched to online after they deactivated me I had trouble connecting my bank (a problem on their end). After an hour with customer service, they said they can't figure out the problem and they can't look into it and call me back (customer support can't do this). They basically don't know why my bank won't connect, and can't escalate it as a bug on their end...<br /><br />I think that there must be something better -- I assumed that as the big guy in the industry I wouldn't have these types of issues.
54	0	Downloading the product was pretty easy and quick. Everything worked pretty well, except that Excel sometimes quits by itself (I know previous customers have complained about this). I would just buy the software version at an Apple store just to be safe.
55	-1	Quicken for Mac is awful!  I bought my first Mac and immediately purchased Quicken.  We've had Quicken on our PC for over 10 years and loved it.  Immediately I had problems.  I transferred all my data and then downloaded from my bank accounts.  Instead of reconciling it made multiple duplicate transactions.  After trying to delete the duplicates I gave up and created a new file.  Again I downloaded the data from my bank account, added new transactions, and tried to reconcile.  That is when I realized that Quicken for Mac is nothing like Quicken for PC!  It will not reconcile to an online account.  Instead you have to choose the dates & opening and closing amounts.  That was very difficult to do within the reconcile window so I had to jump back & forth between that window and my main register.  As much as I tried I could not get the account to reconcile!  At one point I changed a transaction from a payment to a deposit and then back to a payment and instead of being back to my original balance my register was off even more.  I quit.  It was a waste of $60+!  Stick with the PC version or find something else until Quicken can fix the problems.
56	0	It's a good program, but I don't like the idea of forcing the user to upgrade every couple of years by blocking the user's ability to sync your accounts with the bank. It's not like it would cost them more by letting you continue. It would be different if the upgrades offered a significant value, but for what I need the first version that I bought many yeas ago would still be sufficient for me. A lot of that is because they have no real competition like they did when Microsoft Money was around. On top of that their &#34;discsount&#34; that they offer to upgrade is never as good as what you can find the current full version for online!
57	1	I have several computers and they do not all need the same level of protection. I was glad to purchase this basic product for one computer.
58	-1	I thought Intuit would have learned from its previous ill conceived attempts to screw TT customers -- guess not.  This year's changes meant that I would have had to jump from Deluxe up 2 steps to the most expensive package more than doubling my cost.  I have used TT for almost 2 decades and now I am gone forever -- as they say, TT is dead to me.  I bought H&R Block Deluxe and have been working with it for a day and so far it is handling everything about my fairly complex return with ease - txf imports, K-1s, hundreds of stock transactions, 1256 contracts, etc.  Of course it it fails me in the next few days I'll have to eat my words and submit to Intuit's jackboot tactics, but it is not looking like that will be necessary and should I need to you may rest assured I will be vigilantly looking for my earliest possible exit from TT.  By the way TT almost lost me forever the last time Intuit put their boot to our throats.  I used TaxCut that year.  It did an acceptable job but was not quite polished enough at that point so I went back to TT.  The H&R Block product is much more mature now and I doubt I will see any reason to darken Intuit's doors again.  auf Wiedersehen!
59	1	As a retired CPA I like to keep track of my personal finances, I use and recommend Quicken.
60	-1	I bought it from Amazon and then installed it.  It would not work, and then after calling customer support was told that they could not verify my purchase and I needed to buy it directly from them.  Needing to get the returns done, I did this, charging $104 dollars.  But guess what.  Now that I have their down load, it still does not work.  I have spent hours on end on the phone.  Sweet young things to talk to, but they do not know anything.  And it is still not working.<br /><br />I asked to have my call escalated and in order to do that they want my SSN and birthday.  That is not even legal to ask that!  Do they want my bank account numbers too?<br />Now they say that they will have someone call me back within 48 hours.  What?  I can not leave the house for that period?<br /><br />Guess what, I am going to go to the store and buy another brand product.  And then file with my credit card company a dispute because I paid $104 for a program and it does not work.  Not at all.  Will not even come up and run.<br /><br />My guess, after reading the other reviews along with my experience, is that they will not even be in business next year.  So I better learn to use another product.  Now is as good a time as any.
61	0	It isn't as easy to use as the previous edition.
62	1	it is good especially considering its price.
63	0	This product may be good, but I was unable to use it. It apparently does not support hybrid drives. For some unknown reason, it cannot work on drives that have larger sector sizes. Guys, drive sizes are going up (including SSDs). You should be able to move data to them.
64	-1	"I am also a long time Quicken user. I tried the upgrade to Quicken 2012, and reverted back to 2010 almost immediately because I could not use the budgeting functionality. I decided to give Quicken 2013 a try, and at first it seemed that many of the 2012 budgeting issues were resolved. But then I made a mistake - I turned on \\""Detailed Loan Payments\\"", and all of a sudden the actual totals in my budget were no longer correct. So I turned that off, and instead tried to budget by using the pieces of the loan payment (including the transfer to the loan account - I want my budget to reflect cash flow).  Wow was that a mistake! Now nothing totals correctly, budget totals, actual totals, or balances.  The numbers are completely useless. The most basic reason I use budget software is so I don't have to get out my calculator, and here I am, using a calculator! So I have reverted my budget to an excel spreadsheet, just like I used to do 15 years ago.  This is extremely disappointing, especially since Intuit seems to think its OK to charge to upgrade each year, and yet the software is nowhere near ready for release. I agree with the other reviewers who basically said \\""I did not pay to be a beta tester!\\"".<br /><br />In addition to a total fail in functionality, the budget feature is also dreadfully cumbersome. If you have your categories organized into groups, everything is automatically expanded for you every time you change the display view, and if you want to just see a summary, you are constantly manually closing every group. This is very annoying.  The graph view of the budget is also pretty useless. You get a huge red bar if you miss your budget by .01.  Somehow the visual display needs to reflect relative importance of an item. Missing by .01 is not the same as missing by 1000.  So even the attempt at giving you visual clues to help analyze the budget status are poor.<br /><br />Now I'm debating whether or not to revert to 2010, but at this point, that would take a lot of time, I would have to go back to my last 2010 backup and reenter a bunch of stuff.  My Excel budget I set up will work, but it makes me angry that I paid for this upgrade, and now I have to do my budget by hand again. I can't believe Intuit has slipped this far and for so long. Its pretty clear that Quicken is no longer a product they care about.  Or maybe they think that their customer base is so stupid they won't notice that the budget totals are wrong!<br /><br />So bottom line - if you are new to financial software, and wanting to try getting a handle on your finances, DO NOT BUY QUICKEN. There are a lot of good choices out there for basic budgeting, and managing accounts. Some are even free.  If you are a long time user with more complex needs like managing investments or you need comprehensive budgeting - Excel is a better choice. It works, and it does what I want it to do. Sure, its a pain to set up, but it took far less time to set up a spreadsheet than the amount of time I have wasted on the last three releases of Quicken, not to mention the money down the drain.time, I would have to go back to my last 2010 backup and reenter a bunch of stuff.  My Excel budget I set up will work, but it makes me angry that I paid for this upgrade, and now I have to do my budget by hand again. I can't believe Intuit has slipped this far and for so long. Its pretty clear that Quicken is no longer a product they care about.  Or maybe they think that their customer base is so stupid they won't notice that the budget totals are wrong!<br /><br />So bottom line - if you are new to financial software, and wanting to try getting a handle on your finances, DO NOT BUY QUICKEN. There are a lot of good choices out there for basic budgeting, and managing accounts. Some are even free.  If you are a long time user with more complex needs like managing investments or you need comprehensive budgeting - Excel is a better choice. It works, and it does what I want it to do. Sure, its a pain to set up, but it took far less time to set up a spreadsheet than the amount of time I have wasted on the last three releases of Quicken, not to mention the money down the drain."
65	0	Our accountant suggested we get Quickbooks to put our Realestate business information into. I am struggling with it. Not as user friendly as I had hoped it would be. Maybe with time and experience, also reading the manual I also purchased will help.
66	-1	I end up using H &Rj Block
67	0	Yeah you read that right. The company has the programs fixed that after 3 years you can no longer use it. Wont bring in any information any more to any of its forms. Used to be when you bought something it wouldn't disable itself on you. So it's more like rent, not a purchase.<br /><br />But when it is up and running it works well. Probably the best there is for small businesses.
68	-1	Doesn`t work!!! On my way to a store to purchase a better one! I feel ripped of!
69	0	3 stars is fair because some things are fair and some things are poor with Streets and Trips. I am a field sales person, and I have 400 customers who are points on the map that I have to figure out who to visit everyday. I am a heavy map user - I've been using Streets and Trips for more than a decade, and I use MapPoint (Microsofts other map tool) for territory design (splitting up the territories between reps in the first place), and the Badger Map for building my daily schedule and organizing my territory.    First, the Good about Streets and Trips.    1. You can use it offline. This is the most important part for me, because there are parts of my territory that are our of service. When I'm in service, I use the Badger Map to plan my day and route on my ipad, but when AT&T doesn't feel like building towers, I whip out my trusty laptop and get on Streets and Trips.  2. Streets and Trips beats all the handhelds hands down. It allows me to get granular manipulate my routes and choose routes in a way that you can't with the handhelds. I need this for my job.  3. The new version allows me to change and manipulate icons and filter them off the map beautifully. Huge upgrade over past versions.  4. The display of the map and the scheme/legend clear and clean. A great job and helps organize. It would be great if I could change the order in the legend to prioritize and make it make more sense.  5. The point of interest icons are great, and help me find things like hotels when I don't have an internet connection  6. Maybe the best part about S&T is that the Multiple Destination routing (Offline). I sometimes have 10 points in a day if I'm out prospecting. Being able to sort and organize my stops in the best order and get directions from one stop to next is awesome.  7. S&T works great - easy to install. I see that a lot of people had problems installing S&T and getting it to work in the first place. I don't have that problem, I have a Lenovo Thinkpad that is about 3 years old.    And now The Problems with Streets and Trips    1. Why can't I interact with my iPhone, what about my iPad? The fact that this is just on my computer is probably the biggest limitation. I need a send to iPhone feature. especially since the GPX export doesn't work - which brings me to...gripe #2  2. When I export to GPX files (which I want to do because I'm going to be offline), the files are corrupt. I've checked all over the forums, this seems to be happening to lots of people. I have to punch the addresses into my Garmin manually. not the end of the world though.  3. The road maps are pretty weak. They are just years behind on changes. luckily since I'm mostly using this in places that are offline - and those places don't change as much, this doesn't hurt much.  4. I regularly run into problems if I don't get the street name absolutely perfect. sometimes things like Lane instead of Ln etc will throw it off.  5. This is an important one for sales people, but probably less important for people trying to design their vacation. I have to upload my customer lists, and those lists have attributes, like customer type, sales information, etc. This is pretty bad in S&T, and if you want to change anything, you have to start over. This keeps you from using this as a place to take notes and interact with customer data.  6. With every edition of Streets and Trips you are starting from Scratch. When I tried to load my old maps, from earlier versions of S&T, it didn't work.  7. Google Maps has a ton of features that Streets and Trips does not. It looks like since Streets and Trips is discontinued, Microsoft has admitted the war is lost here. Which is a real shame, because Streets and Trips does so much that Google does not do. Walking directions, the great traffic info, a rich database of points of interest, public transport, information on where the coffee shops are so I don't fall asleep at the wheel... all missing in S&T.ops are so I don’t fall asleep at the wheel… all missing in S&T.
70	1	I'm spoiled and can't work from home without it!  There are so many features in this version that I've found I can't live without. I'm very glad to have bought it at this great price.
71	-1	The program was great and as complete as I expected, the problem was when my computer wiped every thing clean during a refresh I lost the program and without a disk I can't reload without buying again.  Any suggestions?
72	-1	Don't buy this - I purchased for $45. on March 1, 2014. The product claims it is a one year license. However, my product expired today on Jan 31st, 2015 instead of a year after purchase. I spent well over 20 minutes on chat with AVG support and the man agreed that I was correct about the 1 yr license but then tried to sell me a new license. Blew my mind. If I'm right and he's right.... then why isn't he fixing the problem? Nope. He just wanted to sell me a new one year license. Like I would fall for THAT again!  Very disappointed.    Another con is that AVG is a resource hog IF you download the many trial add-ons they are always advertising. The trial of AVG Zen is what caused my license error. When it expired, suddenly, my entire suite stopped working. I even tried uninstalling and re-installing but the license expired error was still there. So if you're going to use AVG, don't ever and I mean, EVER download a trial or it will possibly mess up your paid for product and tech support will leave you hanging. :\
73	0	Fount it very intrusive and made changes to my computer without my knowledge. Have removed it for the moment. Liked v15 better.
74	-1	I have started my return, went half way. Meaning put my data in, looking for document setc.<br />In a couple of weeks opened, updated. For some reason update crashed, but i did not worry, just stoped at that moment.<br />Today I updated again, and now it wants to start new return!<br />So, a few hurs of working with tax return were totally wasted!<br />And more time today trying to find my file.<br />Waiting to chat with support...<br />Never had to do it in my previous 5 years with TurboTax. Something had changed in Intuit...
75	-1	Not as advertised. Not really windows 7 download. Check out description not what product info says.
76	1	no problems
77	0	2012 was a more people friendly version!
78	0	I man not happy with TurboTax security.  Your company needs to make it a lot tougher for fraudulent filing.  If you do not take steps to improve security, I may stop using your products--all of them.<br />The Maryland state tax forms could have been better.  One rather puzzling entry only applies to state workers.  That should be made clear immediately to the 99 percent of applicants who are not state workers.
79	0	Seems to do the job.  User interface is antiquated though.
80	0	I think it slowed my system down.
81	1	Still have some problems navigating the site but probably a result of being a senior citizen and not all that familiar with programs.<br /><br />Do like the display but wish I could find a way to fit all information on the page  without  having to minimize  the screen areas.<br /><br />Still a good product but a little overpriced for much of the same material in the old format.
82	1	Purchased for my college student while she was at college 4 hours away.  I was able to assist her with the download process over the phone very easily so she could complete her online coursework.
83	1	Love the product have used for 7 yrs. Recommend to anyone who is looking to do their own taxes it's great.
84	-1	I have several Intiuit products, but because I bought this through Amazon, Quicken would not provide me with any customer service.<br /><br />I had several issues with syncing my accounts, and Quicken customer service would not help me because I did not purchase the software directly from them.<br /><br />I am still waiting for my refund from Quicken.
85	0	The software is good but:<br />1) It has a limited number of financial firms from which it can import capital gains (notably, Chase is missing)<br />2) The cost of a second state is $39.95, more than I paid for the first state + federal.<br />3) The cost of e-filing in a state is $19.95...<br />So for those of us who have to file in two states, it's the cost you pay now + $80 in order to efile in two states.
86	1	I had a flawless upgrade experience from Quicken 2012. I downloaded directly from Intuit on the Black Friday week-end. Happy to say I have found no bugs in this release. Two features that are new to me are the ability to attach digital copies of receipts for purchases and accessing my Quicken files from my smartphone. I like the fact that you control which accounts in your Quicken file are available to your smartphone app. A smartphone option is to create a passcode to access the Quicken app on your phone, which seems like a good thing to do. You won't have to use a passcode on your PC file unless you want to.  I have been using Quicken for nearly 20 years and it is a great program. I am pleased that in the three years since 2012 there have been no substantial changes to the interface. I don't like drastic changes unless they greatly improve the useability of the software. I don't mind having to upgrade at least every three years in order to maintain connectivity with my financial institutions. It's sort of like renewing a subscription. Quicken is a great product and I want them to stay in business.ix,    UPDATE; January 3, 2015 The upgrade was flawless but the same can't be said for Quicken Cloud. I tried this feature and it was fine for a couple of weeks. However, it appears that Wells Fargo doesn't want to play nice with Quicken Cloud. It's a known issue and unresolved. Furthermore, the Cloud feature asked me yesterday to confirm username and passwords for two of my credit cards and the result was creating a 2nd account for the cards involved. And somehow in the process, Quicken managed to add nearly $14,000 to my checking account. After restoring from an earlier file I have completely disabled Cloud and won't try to use it again. The help feature for Cloud was not helpful nor did it accurately reflect what the Quicken Program shows when one tries to follow the steps to resolve problems. So, for me, this upgrade has accomplished nothing more than enabling me to connect with my banks for updates for another three years. Overall, Quicken is a great product but I fear they are loading it down with features that are not reliable and probably not needed. I've lowered my rating by one star.
87	0	Purchased it to check vs. another software Brand I was using.  Close, but I will stay with my original software Brand in the future.
88	0	I have been using Office 2013 on my PC, however as of this writing that version is not available for Mac. I had to purchase this 2011 version for my Mac. It has some shortcoming compare to PC version however if you just want to use basics of Office, then it works just fine. It definitely beats &#34;Numbers&#34; and &#34;Pages&#34; (Mac's counterpart). If you don't have to have it right now, then wait until late 2015 to get the newer version. Overall it is fine for everyday use and not suitable for advanced calculation or macros as regular Excel does.
89	0	Quicken is great at what it does, but after upgrading from Quicken 2011, I fail to see what's really changed and how the product is an improvement.
90	0	Crazy to hear the GPS say Left turn you must take.  A lot of fun for a while, but then it gets really, really, really annoying.  Great idea to give to someone who is a Star Wars geek, but it will drive you crazy if you listen to it all the time.
